timestamp,open,high,low,BTC/USDT,volume,open,high,low,ETH/USDT,volume,open,high,low,XRP/USDT,volume
2021-03-25,52303.66,53287.0,50427.56,51293.78,87400.534538,1581.88,1622.0,1549.4,1585.74,701697.00258,0.48022,0.5248,0.454,0.51058,914285330.6
2021-03-26,51293.78,55073.46,51214.6,55025.59,63813.774692,1585.83,1699.93,1585.79,1698.84,515470.92907,0.51034,0.57689,0.50999,0.56357,737749968.5
2021-03-27,55025.59,56700.36,53950.0,55817.14,50105.475055,1698.84,1732.67,1666.41,1712.63,443845.49957,0.56348,0.57464,0.5342,0.54752,455498717.7
2021-03-28,55817.14,56559.75,54691.84,55777.63,39050.387511,1712.52,1725.66,1661.4,1687.01,348895.51314,0.54735,0.56075,0.53879,0.54552,341522011.5
2021-03-29,55777.65,58405.82,54800.01,57635.47,67857.937398,1687.16,1841.0,1677.85,1816.74,647724.46387,0.5455,0.57082,0.54317,0.56538,534252547.3
2021-03-30,57635.46,59368.0,57071.35,58746.57,55122.443122,1816.76,1859.13,1786.3,1840.46,568842.00526,0.56528,0.588,0.55903,0.5621,574769642.5
2021-03-31,58746.57,59800.0,56769.0,58740.55,60975.542666,1840.41,1947.29,1768.15,1919.37,746995.8591,0.56207,0.57682,0.52624,0.56982,666984204.3
2021-04-01,58739.46,59490.0,57935.45,58720.44,47415.61722,1919.37,1984.77,1885.02,1968.05,741585.07266,0.5698,0.59555,0.54864,0.57087,710919375.0
2021-04-02,58720.45,60200.0,58428.57,58950.01,47382.418781,1968.05,2146.0,1948.48,2133.69,846197.93215,0.57061,0.61,0.56522,0.60701,800475396.4
2021-04-03,58950.01,59791.72,56880.0,57051.94,47409.852113,2133.69,2138.12,1996.3,2008.52,770176.32192,0.60701,0.64262,0.573,0.57831,991064844.8
2021-04-04,57051.95,58492.85,56388.0,58202.01,41314.081973,2008.59,2091.83,1975.24,2075.69,514345.76554,0.57836,0.63599,0.56591,0.635,664457346.2
2021-04-05,58202.01,59272.0,56777.77,59129.99,54258.01579,2075.7,2130.64,2002.15,2107.38,684923.61494,0.63501,0.93999,0.6194,0.91584,3325470561.47
2021-04-06,59129.99,59495.24,57413.02,57991.15,54201.000727,2107.43,2151.0,2044.65,2112.21,673386.05575,0.91584,1.119,0.7931,1.09663,4053245753.09
2021-04-07,57990.03,58655.0,55473.0,55953.45,71228.405659,2112.22,2129.01,1930.01,1963.47,892984.90422,1.09666,1.10882,0.856,0.91542,2128341583.9
2021-04-08,55953.44,58153.31,55700.0,58077.52,44283.147019,1963.46,2084.61,1947.35,2080.46,501355.998,0.91544,1.07294,0.90128,1.05599,1232242484.4
2021-04-09,58077.52,58894.9,57654.0,58142.54,40831.884911,2080.39,2100.0,2047.57,2066.87,426387.4379,1.05571,1.0849,0.9808,1.01721,964539570.1
2021-04-10,58142.55,61500.0,57900.01,59769.13,69906.424117,2067.19,2200.0,2058.0,2133.49,655458.20894,1.01754,1.399,1.00617,1.3728,2713439019.68
2021-04-11,59769.13,60699.0,59232.52,60002.43,41156.715391,2133.49,2165.02,2113.4,2151.36,392265.50773,1.37215,1.5,1.305,1.35118,1972667902.4
2021-04-12,59998.8,61300.0,59350.59,59860.0,56375.037117,2151.42,2203.46,2102.0,2137.69,579093.35694,1.35118,1.475,1.31804,1.46843,1129501823.8
2021-04-13,59860.01,63777.77,59805.15,63575.0,82848.688746,2137.86,2318.0,2135.53,2299.19,782608.6209,1.4685,1.88888,1.41778,1.79611,2515240116.42
2021-04-14,63575.01,64854.0,61301.0,62959.53,82616.343993,2299.19,2447.29,2281.33,2432.6,972931.60866,1.79607,1.96689,1.56001,1.83468,2119704174.5
2021-04-15,62959.53,63800.0,62020.0,63159.98,51649.70034,2432.59,2543.47,2400.0,2514.04,681950.96645,1.83396,1.885,1.65243,1.75781,1124377879.6
2021-04-16,63158.74,63520.61,60000.0,61334.8,91764.139884,2514.04,2548.29,2300.0,2422.67,999163.75205,1.75781,1.81041,1.42,1.54805,1805450664.8
2021-04-17,61334.81,62506.05,59580.91,60006.66,58912.256128,2422.38,2495.0,2310.0,2317.6,624232.25568,1.54805,1.74163,1.52991,1.53896,1108826379.5
2021-04-18,60006.67,60499.0,50931.3,56150.01,124882.131824,2317.65,2340.0,1946.8,2235.64,1475383.69204,1.53988,1.56505,1.16,1.40797,2048345301.6
2021-04-19,56150.01,57526.81,54221.58,55633.14,78229.042267,2235.65,2300.0,2080.0,2161.12,820592.26555,1.40797,1.5339,1.251,1.30945,1608073829.4
2021-04-20,55633.14,57076.24,53329.96,56425.0,72744.482151,2161.12,2346.62,2055.0,2330.03,992240.809,1.30941,1.44796,1.18,1.38501,1522196293.5
2021-04-21,56425.0,56757.91,53536.02,53787.63,66984.756909,2330.26,2469.54,2235.16,2357.06,1177885.8617,1.385,1.4645,1.27545,1.29097,1301403506.4
2021-04-22,53787.62,55521.48,50500.0,51690.96,104656.631337,2357.06,2644.47,2303.44,2397.94,2220753.09746,1.2911,1.41947,1.0859,1.15489,1771540957.6
